,ADM4_PCODE,NL,car_00,car_01,dw_00,dw_01,dw_02,dw_03,dw_04,dw_05,dw_06,dw_07,dw_08,dw_09,dw_10,dw_11,dw_12,dw_13,houdivind,lan_00,lan_01,lan_02,lan_03,lan_04,lan_05,lan_06,lan_07,lan_08,lan_09,lan_10,lan_11,lan_12,lan_13,lan_14,lat,lgt_00,lln_00,lln_01,lon,pg_00,pg_01,pg_02,pg_03,pg_04,psa_00,psa_01,psa_02,psa_03,psa_04,pw_00,pw_01,pw_02,pw_03,pw_04,pw_05,pw_06,pw_07,pw_08,stv_00,stv_01,target,total_households,total_individuals,ward,cluster
0,ZA4161001,0.2920385261,0.2737272545,0.7262727455,0.9338414334999999,0.0008457222,0.0054901470999999995,0.0006764547,0.0,0.0013723487,0.0057498741,0.031465754,0.0080802385,0.0028227289000000003,0.001430941,0.0082243574,0.0,0.0,28.437356869641565,0.8329126393999999,0.0123364623,0.0019228127,0.050939144000000006,0.0,0.0005639543,0.0760879792,0.0063710255,0.0036633509000000004,0.0003751685,0.000371901,0.0049431223,0.0027192009999999996,0.0,0.0067932389,-29.6822700584,0.9194243284,0.11882473710000001,0.8811752629,24.7347433306,0.3574554022,0.5631658463,0.0042600741,0.0729959228,0.0021227547,0.260191138,0.6078984903,0.0001881489,0.0100176989,0.1217045238,0.7426922029999999,0.2140270273,0.0199679109,0.0028480088000000002,0.0075371469,0.0,0.0129277031,0.0,0.0,0.28346757780000004,0.7165324222,16.7737569179,1674.4505800000002,5888.2075,41601001: Ward 1,2
1,ZA4161002,3.2077754739,0.1446382117,0.8553617883,0.6969400382,0.0012528898,0.0044021093,0.0,0.0023013804,0.0013229361999999999,0.007574691,0.1235472201,0.151909735,0.0014861091,0.0012528898,0.008010001,0.0,0.0,25.789236843836427,0.8796548925,0.0084451573,0.000327982,0.0112493179,0.0008416252,0.001758571,0.0324307876,0.030844129300000002,0.0016456204000000001,0.0013075335,0.0009942559,0.0,0.0024391752,0.0,0.028060952000000004,-29.1193113796,0.9592590076999999,0.0669033536,0.9330966464,24.7577373108,0.6984278601,0.2780061886,0.0036950394,0.0158354114,0.0040355004,0.2902283264,0.5497884151,0.0,0.021336083999999998,0.1386471746,0.3092938754,0.5768441576,0.0189463477,0.014566167,0.0571266896,0.019091639,0.0041311237,0.0,0.0,0.1036411733,0.8963588267,21.4966612115,1736.9923,6735.33812,41601002: Ward 2,2
2,ZA4161003,0.0,0.2722200274,0.7277799726,0.8105448185999999,0.0045170032,0.0088908779,0.0039862939,0.0077346049,0.0009560464,0.006686291800000001,0.0226320208,0.1299020259,0.0,0.0,0.0041500166,0.0,0.0,33.047702497904616,0.5655459963,0.015991206,0.0015660445000000001,0.1112697473,0.0047950118,0.0025515334,0.1480833553,0.1396873563,0.0031654272,0.000164517,0.000778705,0.0016921511999999999,0.0025090464,0.0,0.0021999024,-29.142276139299998,0.8261639675,0.10000860339999999,0.8999913965999999,25.094093433,0.6724515153,0.15422480630000002,0.0021806106,0.1674939604,0.0036491072999999996,0.1864347666,0.6770047221,0.0004890947,0.0213146701,0.1147567466,0.3233931854,0.4833762292,0.0830103053,0.0575598879,0.0103581958,0.0014212657000000001,0.040880930600000004,0.0,0.0,0.1657716398,0.8342283601999999,10.9314246705,2403.57591,7273.04995,41601003: Ward 3,2
3,ZA4161004,2.0387780125,0.1278754452,0.8721245548000001,0.659913979,0.0,0.0061293873,0.0,0.0008134939999999999,0.0372454563,0.0052554667,0.0689088582,0.21878631850000002,0.0,0.0,0.00294704,0.0,0.0,30.35644373536895,0.7438116586,0.006530419799999999,0.0011884177,0.0864233734,0.0067352226,0.0023076348,0.1032442436,0.0382840693,0.0030802702,0.0005817727,0.0,0.0001965475,0.0074419864,0.0,0.00017438340000000002,-29.372051517800003,0.9861507612,0.029155381600000002,0.9708446184,24.9428668511,0.7280144154000001,0.2638307624,0.001805864,0.0009564266999999999,0.0053925314,0.2812288016,0.5932806888000001,0.0005790715,0.007248882900000001,0.1176625551,0.6774371070999999,0.314193525,0.0026893003000000005,0.0,0.0006693753,0.0,0.0050106924,0.0,0.0,0.08776811150000001,0.9122318884999999,23.1192572359,1740.78737,5734.49046,41601004: Ward 4,2
4,ZA4161005,0.0,0.404507137,0.5954928629999999,0.9505754735999999,0.0006545394,0.0014728625,0.0005978222,0.0069985487,0.0008183231,0.0049845811,0.009149978199999999,0.015381726,0.0086927962,0.0,0.0006733489,0.0,0.0,25.99448027874802,0.4226227382,0.014352188500000002,0.0008420669,0.12186900140000001,0.0070274801000000005,0.0026132533,0.1473625411,0.08170609059999999,0.0030438838,0.00016930439999999998,0.0006432487,0.0012005384,0.0042757445,0.0,0.19227192010000002,-29.4093813324,0.9573762256,0.13355197470000002,0.8664480253,25.2901652875,0.7534906302,0.1296539653,0.004522554,0.10695303560000001,0.0053798149,0.19668681079999997,0.5175781336,0.0009889536,0.0051483105,0.27959779149999997,0.7711064208,0.19474311719999998,0.0096991501,0.0048585493,0.0012901134,0.0006733489,0.0176293003,0.0,0.0,0.34597497829999996,0.6540250217,13.6522518959,1730.5145100000002,6657.23835,41601005: Ward 5,2
5,ZA4161006,1.4645410542,0.2221196822,0.7778803178,0.7668319312,0.0005790349,0.0058740736,0.0,0.0,0.0014478504999999998,0.0388077025,0.09001348599999999,0.0929059152,0.0,0.0,0.0035400062,0.0,0.0,30.85411735251336,0.22749468239999998,0.012903363400000001,0.0040232346,0.23503438329999998,0.0148241077,0.0046175241,0.19974124940000001,0.2436425651,0.0049108085,0.0007264760000000001,0.00034539589999999995,0.0023056793,0.0060555315,0.0,0.0433749987,-29.1268702848,0.9534028626000001,0.0872583506,0.9127416494,25.4103600113,0.8342634042,0.0565585646,0.0037766706,0.1021690651,0.0032322953999999997,0.270240925,0.5661809611,0.00017124759999999998,0.0206586255,0.1427482407,0.2718389836,0.6140117667,0.0274960463,0.0207710645,0.0022751921,0.0241838833,0.0394230635,0.0,0.0,0.1351319524,0.8648680476,25.249880265999998,1956.1688800000002,6340.05782,41601006: Ward 6,2
6,ZA4162001,0.8217381051,0.2234508469,0.7765491531000001,0.9083996279000001,0.006856834799999999,0.0029409690000000003,0.0005760213,0.0007201575999999999,0.0019053064000000002,0.0385194046,0.012671706100000001,0.0247845084,0.0007201575999999999,0.001312732,0.0005925744,0.0,0.0,31.559524431608782,0.1931254647,0.012932078500000001,0.0016044184,0.14381754800000002,0.0011854481,0.0021291734,0.6038019419,0.0063707341,0.013919560800000001,0.0,0.0,0.0007249853,0.0028948358,0.0,0.0174938112,-29.640860267199997,0.9248859795000001,0.1060840466,0.8939159534000001,26.0917736986,0.8072558073,0.0507405603,0.0030789477,0.1365795061,0.0023451786,0.2515025021,0.6050180988,0.0002157661,0.0112603987,0.13200323419999999,0.46846437520000006,0.4717535282,0.032711581600000005,0.0038272827000000002,0.0005085428,0.0025424443,0.0201922451,0.0,0.0,0.16864773489999998,0.8313522651,19.9845852549,1966.40293,6230.77491,41602001: Ward 1,2
7,ZA4162002,0.0,0.21864122879999998,0.7813587712000001,0.8900794714,0.0045494808,0.0022617439,0.0011509944,0.0005115014,0.0018051864000000002,0.0094934404,0.0668423925,0.021215582400000002,0.0010377017,0.0,0.0010525046,0.0,0.0,32.21506887260494,0.3959495533,0.0152246548,0.002291226,0.1413201787,0.0113109627,0.0022235864,0.36791378399999997,0.0123550421,0.0050952808,0.0006634878999999999,0.0006539315,0.0028865258000000003,0.0070517901,0.0,0.0350599958,-30.0291626633,0.9239932478,0.1010952657,0.8989047343000001,25.9171636063,0.6621445731000001,0.22531248829999997,0.0037301362,0.1030178956,0.0057949067000000005,0.2444773455,0.609624618,0.00032191479999999997,0.0078109845,0.1377651373,0.4389836223,0.5046041809,0.0229965325,0.0063640285,0.001278986,0.0005262004,0.0252464495,0.0,0.0,0.28702838989999996,0.7129716101000001,16.5110805718,2214.44168,6873.93123,41602002: Ward 2,2
8,ZA4162003,0.0,0.2171833997,0.7828166003,0.9122977554,0.0027986032000000003,0.0036879884000000003,0.0005599174,0.0012599414,0.0005599174,0.0057704773,0.0240868925,0.04574251,0.0019760557000000002,0.0005599174,0.0007000239999999999,0.0,0.0,30.029869040927785,0.193510297,0.0252379127,0.0020044235999999997,0.41403402780000004,0.006241382199999999,0.0011616331,0.292356513,0.0082588973,0.0100098758,0.00036073830000000004,0.0004994040000000001,0.0,0.0056508952000000005,0.0,0.0406739999,-30.462175669,0.9330429986,0.1283393129,0.8716606870999999,26.1331700773,0.8029596703,0.1026057301,0.0071289676,0.0829630204,0.0043426116,0.302585212,0.5449367368,0.0001673126,0.0137373332,0.13857340529999998,0.4450669511,0.5304981760999999,0.0082587826,0.0061093225,0.0012760317,0.0,0.008790736,0.0,0.0,0.2293848966,0.7706151034000001,25.9621166749,2022.9591699999999,6736.49015,41602003: Ward 3,2
9,ZA4162004,0.0,0.2875520049,0.7124479951,0.8826647418000001,0.0052268129,0.0091278044,0.0,0.0036869431,0.0028391752000000003,0.0248128783,0.0270018095,0.004729306,0.0124678658,0.0006379436,0.0268047194,0.0,0.0,31.247828906106584,0.5099400361,0.0218336171,0.0019540395,0.21925912760000002,0.0041691215,0.0012082097999999999,0.1803139036,0.0040410245000000004,0.0029308453999999998,0.0005883069999999999,0.00021058060000000002,0.0009698014999999999,0.0052397431,0.0,0.0473416427,-30.4204211245,0.9382785643000001,0.15108811,0.84891189,25.351629616100002,0.5290884652000001,0.3446971227,0.0041432473,0.1111728934,0.0108982714,0.2547986202,0.5808205806,0.00019107720000000001,0.018166906599999998,0.14602281539999998,0.5665115713000001,0.4260786096,0.0021101267,0.0026435664,0.0,0.0005826644,0.0020734616,0.0,0.0,0.34250965270000006,0.6574903473,21.744166399,1775.53323,5682.1011,41602004: Ward 4,2
